Address,PSI Status,PSI Error,Performance Score,Total Size Savings (Bytes),Total Time Savings (ms),Total Requests,Total Page Size (Bytes),HTML Size (Bytes),HTML Count,Image Size (Bytes),Image Count,CSS Size (Bytes),CSS Count,JavaScript Size (Bytes),JavaScript Count,Font Size (Bytes),Font Count,Media Size (Bytes),Media Count,Other Size (Bytes),Other Count,Third Party Size (Bytes),Third Party Count,Core Web Vitals Assessment,CrUX First Contentful Paint Time (ms),CrUX First Contentful Paint Category,CrUX First Input Delay Time (ms),CrUX First Input Delay Category,CrUX Largest Contentful Paint Time (ms),CrUX Largest Contentful Paint Category,CrUX Cumulative Layout Shift,CrUX Cumulative Layout Shift Category,CrUX Interaction to Next Paint Category,CrUX Interaction to Next Paint (ms),CrUX Time to First Byte Category,CrUX Time to First Byte (ms),Eliminate Render-Blocking Resources Savings (ms),Defer Offscreen Images Savings (ms),Efficiently Encode Images Savings (ms),Properly Size Images Savings (ms),Minify CSS Savings (ms),Minify JavaScript Savings (ms),Reduce Unused CSS Savings (ms),Reduce Unused JavaScript Savings (ms),Serve Images in Next-Gen Formats Savings (ms),Enable Text Compression Savings (ms),Preconnect to Required Origins Savings (ms),Server Response Times (TTFB) (ms),Multiple Redirects Savings (ms),Preload Key Requests Savings (ms),Use Video Format for Animated Images Savings (ms),Total Image Optimization Savings (ms),Avoid Serving Legacy JavaScript to Modern Browsers Savings (Bytes)
https://www.andelskassen.dk/,Success,NA,52,14716263,72995,58,12722512,26418,3,9613210,26,77255,4,580426,10,2416691,9,0,0,8512,6,931459,29,Pass,929000,Good,25000,Good,1199000,Good,"0,050",Good,Good,166,Good,362,951,0,5400,28050,0,0,300,1650,33750,0,0,194,0,0,2700,67200,9178
https://www.andelskassen.dk/nyheder/2022/november/kontante-skulderklap-til-lokale-ildsjaele/,Success,NA,53,2326955,12215,29,4280161,21694,2,1504420,5,45992,2,329544,9,2376392,8,0,0,2119,3,121437,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,704,0,0,3450,0,0,150,900,6750,0,0,261,0,0,0,10200,66
https://www.andelskassen.dk/om-banken/vilkaar-priser-og-regler/,Success,NA,60,609267,3763,27,3040626,21647,2,264939,3,45992,2,329543,9,2376392,8,0,0,2113,3,121430,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,685,0,900,0,0,0,150,750,1200,0,0,78,0,0,0,2100,66
https://www.andelskassen.dk/om-banken/investor/generalforsamling/,Success,NA,63,956719,5821,29,3244463,20597,2,469826,5,45992,2,329543,9,2376392,8,0,0,2113,3,121430,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,958,0,1500,0,0,0,300,1050,1950,0,0,63,0,0,0,3450,66
https://www.andelskassen.dk/privat/kundeprogram/ung/,Success,NA,48,1863656,9657,28,3696487,21644,2,920801,4,45992,2,329545,9,2376392,8,0,0,2113,3,121432,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,684,0,2400,2100,0,0,150,800,3450,0,0,73,0,0,0,7950,66
https://www.andelskassen.dk/privat/bolig/realkredit/,Success,NA,48,751628,4615,32,3320009,25962,2,521449,4,47433,3,346660,12,2376392,8,0,0,2113,3,121431,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,706,0,0,1050,0,150,150,900,1500,0,0,159,0,0,0,2550,66
https://www.andelskassen.dk/om-banken/organisation-og-ledelse/fonde/,Success,NA,60,609417,3505,29,3049790,19991,2,275758,5,45992,2,329544,9,2376392,8,0,0,2113,3,121431,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,702,0,750,0,0,0,150,780,1050,0,0,73,0,0,0,1800,66
https://www.andelskassen.dk/om-banken/organisation-og-ledelse/bestyrelse/,Success,NA,56,630329,4656,36,3162624,20628,2,387951,12,45992,2,329546,9,2376392,8,0,0,2115,3,121435,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1738,0,750,0,0,0,150,900,1050,0,0,68,0,0,0,1800,66
https://www.andelskassen.dk/om-banken/presse/logo-til-tryk/,Success,NA,61,262372,2119,30,2812025,19498,2,38483,6,45992,2,329546,9,2376392,8,0,0,2114,3,121434,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,701,0,0,0,0,0,150,1050,150,0,0,68,0,0,0,150,66
https://www.andelskassen.dk/filialer/,Success,NA,48,355143,2412,55,3359609,23799,2,285086,14,49306,4,609629,21,2388348,9,0,0,3441,5,701116,37,Pass,592000,Good,21000,Good,784000,Good,"0,000",Good,Needs Improvement,256,Good,216,692,0,0,0,0,0,150,1200,300,0,0,70,0,0,0,300,66
